ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO,QTD_OPR 
185,nan,37,nan,282,314,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,314
186,nan,99,nan,1,2,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,2
187,nan,51,nan,1,1,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,1
188,nan,311,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
189,188210000.0,157,78246331.0,6,8,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,8
190,nan,48,nan,730,805,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,805
191,nan,99,nan,1,1,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,1
192,nan,13,nan,1139,1153,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,1153
193,nan,33,nan,350,378,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,378
194,nan,37,nan,163,178,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,178
195,nan,33,nan,158,168,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,168
196,nan,54,nan,136,148,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,148
197,nan,39,nan,226,247,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,247
198,nan,128,nan,1,1,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,1
199,nan,22,nan,146,153,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,153
200,nan,66,nan,237,281,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,281
201,nan,359,nan,9,9,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,9
202,nan,254,nan,4,4,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,4
203,272246575.0,40,102488463.0,64,69,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,69
204,248229305.0,41,108171008.0,61,66,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,66
205,nan,30,nan,1888,1996,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1996
206,nan,30,nan,526,550,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,550
207,nan,71,nan,116,123,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,123
208,nan,16,nan,12,13,67,B01,F,2020-01-16,2020-01-27 10:49:48.15,13
209,nan,9,nan,6,6,67,A05,F,2020-01-16,2020-01-27 10:49:48.15,6
210,nan,2,nan,3,3,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,3
211,nan,130,nan,1,1,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,1
212,72600000.0,151,27426863.0,3,3,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,3
213,137950000.0,171,89174976.0,7,12,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,12
214,nan,73,nan,9,9,67,A04,F,2020-01-16,2020-01-27 10:49:48.15,9
215,nan,10,nan,253,254,67,A99,F,2020-01-16,2020-01-27 10:49:48.15,254
216,nan,35,nan,13,13,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,13
217,nan,142,nan,1,1,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,1
218,nan,7,nan,6,6,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,6
219,nan,48,nan,1,1,67,B07,F,2020-01-16,2020-01-27 10:49:48.15,1
220,nan,1,nan,4161,4929,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,4929
221,nan,12,nan,460,469,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,469
222,nan,56,nan,44,54,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,54
223,nan,206,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
224,501456530.0,49,226266110.0,110,129,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,129
225,nan,360,nan,2427,2454,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2454
226,nan,41,nan,239,250,67,B99,F,2020-01-16,2020-01-27 10:49:48.15,250
227,189325000.0,137,61565019.0,16,19,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,19
228,nan,60,nan,2829,2930,67,B05,F,2020-01-16,2020-01-27 10:49:48.15,2930
229,nan,87,nan,133,155,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,155
230,nan,85,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
231,nan,10,nan,9,10,67,B01,F,2020-01-16,2020-01-27 10:49:48.15,10
232,nan,221,nan,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,2
233,nan,55,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
234,419326822.0,80,253477697.0,62,71,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,71
235,nan,323,nan,6,6,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,6
236,nan,301,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
237,nan,201,nan,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,1
238,578567936.0,71,283819206.0,104,110,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,110
239,nan,278,nan,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,3
240,138670000.0,170,90470353.0,7,10,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,10
241,nan,36,nan,8,8,67,B03,F,2020-01-16,2020-01-27 10:49:48.15,8
242,525848168.0,58,311631732.0,106,116,67,C01,F,2020-01-16,2020-01-27 10:49:48.15,116
243,nan,32,nan,182,190,67,A01,F,2020-01-16,2020-01-27 10:49:48.15,190
