ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL
420,25023079161,3043,NMN,NMN
484,21123827003,2482,NMN,NMN
509,19234587185,2890,NMN,NMN
638,667321230,19091,NMN,NMN
675,23882801339,2346,NMN,NMN
694,10664173984,1700,NMN,NMN
700,12555990815,2380,NMN,NMN
739,13921956540,2363,NMN,NMN
787,24087367966,2550,NMN,NMN
817,25690524372,2941,NMN,NMN
833,26818206996,1853,NMN,NMN
893,23464518634,2312,NMN,NMN
89,10280090961,2227,NMN,NMN
248,22783307775,1734,NMN,NMN
251,23397327868,2465,NMN,NMN
262,11151982286,3230,NMN,NMN
280,22791141987,1955,NMN,NMN
306,18854187178,3383,NMN,NMN
327,20563759164,2210,NMN,NMN
364,14273509723,1955,NMN,NMN
374,15497272709,2329,NMN,NMN
423,10715023245,2720,NMN,NMN
433,18709605969,2244,NMN,NMN
